hwu
test
alarm settings -> predict label: alarm_set, true label: alarm_query
Define economics -> predict label: general_quirky, true label: qa_definition
describe a rotor -> predict label: general_quirky, true label: qa_definition
define the moon for me -> predict label: general_quirky, true label: qa_definition
find the meaning of promise -> predict label: general_quirky, true label: qa_definition
when does the super bowl officially start -> predict label: datetime_query, true label: qa_factoid
how many months in a year -> predict label: datetime_query, true label: qa_factoid
how many pages long is harry potter -> predict label: play_audiobook, true label: qa_factoid
which continent has highest growth of cotton and what is average production -> predict label: general_quirky, true label: qa_factoid
when is shakira's birthday -> predict label: email_querycontact, true label: qa_factoid
please tell me about the historic facts about india -> predict label: general_quirky, true label: qa_factoid
tell me when will indians economy touch that of americas -> predict label: general_quirky, true label: qa_factoid
info on lisa ann please -> predict label: lists_query, true label: qa_factoid
calculate distance from boston to new york -> predict label: transport_query, true label: qa_factoid
convert ten inches to centimeters -> predict label: iot_hue_lightchange, true label: qa_maths
what is the answer to this math question -> predict label: qa_definition, true label: qa_maths
what is the value of apple -> predict label: qa_factoid, true label: qa_stock
what events are coming up -> predict label: calendar_query, true label: recommendation_events
show me painting exhibition in bay area -> predict label: recommendation_movies, true label: recommendation_events
what's going on -> predict label: news_query, true label: recommendation_events
what is playing at the local theater right now -> predict label: recommendation_movies, true label: recommendation_events
could you list out the information on book fairs in washington dc for next week -> predict label: lists_query, true label: recommendation_events
where can i got to grab some drinks in west chester -> predict label: takeaway_order, true label: recommendation_locations
where is mcdo -> predict label: qa_factoid, true label: recommendation_locations
find grocery store with an organic section near me -> predict label: takeaway_query, true label: recommendation_locations
open gallery post video name -> predict label: social_query, true label: social_post
tell comcast i am still on hold -> predict label: play_radio, true label: social_post
tell me what's going on snap chat -> predict label: general_joke, true label: social_query
take me to the most popular post -> predict label: news_query, true label: social_query
pull up the menu for the closest mexican restaurant -> predict label: takeaway_query, true label: takeaway_order
what takeout places are near me -> predict label: takeaway_query, true label: takeaway_order
where can i order pizza for delivery -> predict label: takeaway_order, true label: takeaway_query
i need to know if mr pizza delivers -> predict label: takeaway_order, true label: takeaway_query
what's the exact time we get food delivered once we place an order for food -> predict label: takeaway_order, true label: takeaway_query
how long until i receive my food -> predict label: cooking_recipe, true label: takeaway_query
where are my takeaway order -> predict label: takeaway_order, true label: takeaway_query
is my order at domino's ready -> predict label: takeaway_order, true label: takeaway_query
what is the status of my order no -> predict label: email_querycontact, true label: takeaway_query
where can i book a train ticket to oregon -> predict label: transport_ticket, true label: transport_query
navigation search -> predict label: transport_traffic, true label: transport_query
how far away is the nearest rest stop -> predict label: recommendation_locations, true label: transport_query
when i should leave to office -> predict label: calendar_query, true label: transport_query
find out the the train arrival time and book me -> predict label: transport_query, true label: transport_ticket
are there are any delays on my commute -> predict label: calendar_query, true label: transport_traffic
alarm_query                   0.895     [('alarm_query', 17), ('alarm_set', 2)]
alarm_remove                  0.909     [('alarm_remove', 10), ('iot_wemo_off', 1)]
alarm_set                     0.895     [('alarm_set', 17), ('alarm_remove', 1), ('datetime_query', 1)]
audio_volume_down             0.875     [('audio_volume_down', 7), ('audio_volume_up', 1)]
audio_volume_mute             0.800     [('audio_volume_mute', 12), ('audio_volume_down', 1), ('email_query', 1), ('iot_hue_lightoff', 1)]
audio_volume_up               0.538     [('audio_volume_up', 7), ('audio_volume_down', 6)]
calendar_query                0.526     [('calendar_query', 10), ('lists_query', 4), ('datetime_query', 2), ('recommendation_events', 1), ('social_query', 1), ('calendar_set', 1)]
calendar_remove               0.895     [('calendar_remove', 17), ('calendar_query', 2)]
calendar_set                  0.579     [('calendar_set', 11), ('calendar_query', 4), ('email_query', 1), ('email_sendemail', 1), ('alarm_set', 1), ('calendar_remove', 1)]
cooking_recipe                0.947     [('cooking_recipe', 18), ('general_quirky', 1)]
datetime_convert              1.000     [('datetime_convert', 8)]
datetime_query                0.789     [('datetime_query', 15), ('datetime_convert', 4)]
email_addcontact              0.875     [('email_addcontact', 7), ('social_post', 1)]
email_query                   0.842     [('email_query', 16), ('email_sendemail', 2), ('email_addcontact', 1)]
email_querycontact            0.632     [('email_querycontact', 12), ('email_query', 2), ('qa_factoid', 2), ('email_addcontact', 1), ('transport_query', 1), ('lists_query', 1)]
email_sendemail               0.842     [('email_sendemail', 16), ('email_addcontact', 2), ('qa_stock', 1)]
general_affirm                1.000     [('general_affirm', 19)]
general_commandstop           1.000     [('general_commandstop', 19)]
general_confirm               1.000     [('general_confirm', 19)]
general_dontcare              0.789     [('general_dontcare', 15), ('general_praise', 3), ('general_negate', 1)]
general_explain               0.789     [('general_explain', 15), ('general_negate', 4)]
general_joke                  1.000     [('general_joke', 12)]
general_negate                1.000     [('general_negate', 19)]
general_praise                1.000     [('general_praise', 19)]
general_quirky                0.263     [('general_quirky', 5), ('qa_factoid', 3), ('play_music', 1), ('recommendation_movies', 1), ('qa_stock', 1), ('datetime_query', 1), ('lists_query', 1), ('recommendation_locations', 1), ('iot_cleaning', 1), ('play_game', 1), ('email_querycontact', 1), ('cooking_recipe', 1), ('play_audiobook', 1)]
general_repeat                0.895     [('general_repeat', 17), ('general_commandstop', 1), ('general_confirm', 1)]
iot_cleaning                  1.000     [('iot_cleaning', 16)]
iot_coffee                    0.947     [('iot_coffee', 18), ('takeaway_order', 1)]
iot_hue_lightchange           0.526     [('iot_hue_lightchange', 10), ('iot_hue_lightup', 4), ('iot_hue_lighton', 2), ('play_game', 1), ('iot_wemo_on', 1), ('iot_hue_lightoff', 1)]
iot_hue_lightdim              0.917     [('iot_hue_lightdim', 11), ('iot_hue_lighton', 1)]
iot_hue_lightoff              1.000     [('iot_hue_lightoff', 19)]
iot_hue_lighton               1.000     [('iot_hue_lighton', 3)]
iot_hue_lightup               0.786     [('iot_hue_lightup', 11), ('iot_hue_lighton', 2), ('audio_volume_down', 1)]
iot_wemo_off                  1.000     [('iot_wemo_off', 9)]
iot_wemo_on                   0.714     [('iot_wemo_on', 5), ('iot_wemo_off', 2)]
lists_createoradd             0.842     [('lists_createoradd', 16), ('email_querycontact', 1), ('lists_remove', 1), ('lists_query', 1)]
lists_query                   0.632     [('lists_query', 12), ('lists_createoradd', 4), ('social_post', 1), ('music_query', 1), ('calendar_query', 1)]
lists_remove                  0.895     [('lists_remove', 17), ('calendar_remove', 1), ('lists_createoradd', 1)]
music_likeness                0.611     [('music_likeness', 11), ('music_settings', 2), ('general_praise', 2), ('music_query', 2), ('play_radio', 1)]
music_query                   0.842     [('music_query', 16), ('iot_cleaning', 1), ('qa_definition', 1), ('music_likeness', 1)]
music_settings                0.286     [('play_music', 5), ('music_settings', 2)]
news_query                    0.842     [('news_query', 16), ('qa_factoid', 2), ('calendar_set', 1)]
play_audiobook                0.789     [('play_audiobook', 15), ('audio_volume_mute', 1), ('play_music', 1), ('recommendation_locations', 1), ('play_game', 1)]
play_game                     0.842     [('play_game', 16), ('qa_factoid', 1), ('lists_createoradd', 1), ('general_quirky', 1)]
play_music                    0.632     [('play_music', 12), ('music_likeness', 3), ('play_game', 3), ('music_query', 1)]
play_podcasts                 0.842     [('play_podcasts', 16), ('music_query', 1), ('play_game', 1), ('lists_remove', 1)]
play_radio                    0.789     [('play_radio', 15), ('play_music', 3), ('play_podcasts', 1)]
qa_currency                   0.895     [('qa_currency', 17), ('qa_factoid', 2)]
qa_definition                 0.632     [('qa_definition', 12), ('general_quirky', 5), ('qa_factoid', 2)]
qa_factoid                    0.526     [('qa_factoid', 10), ('general_quirky', 3), ('datetime_query', 2), ('play_audiobook', 1), ('email_querycontact', 1), ('lists_query', 1), ('transport_query', 1)]
qa_maths                      0.857     [('qa_maths', 12), ('iot_hue_lightchange', 1), ('qa_definition', 1)]
qa_stock                      0.947     [('qa_stock', 18), ('qa_factoid', 1)]
recommendation_events         0.737     [('recommendation_events', 14), ('recommendation_movies', 2), ('calendar_query', 1), ('news_query', 1), ('lists_query', 1)]
recommendation_locations      0.842     [('recommendation_locations', 16), ('takeaway_order', 1), ('qa_factoid', 1), ('takeaway_query', 1)]
recommendation_movies         1.000     [('recommendation_movies', 10)]
social_post                   0.895     [('social_post', 17), ('social_query', 1), ('play_radio', 1)]
social_query                  0.889     [('social_query', 16), ('general_joke', 1), ('news_query', 1)]
takeaway_order                0.895     [('takeaway_order', 17), ('takeaway_query', 2)]
takeaway_query                0.632     [('takeaway_query', 12), ('takeaway_order', 5), ('cooking_recipe', 1), ('email_querycontact', 1)]
transport_query               0.789     [('transport_query', 15), ('transport_ticket', 1), ('transport_traffic', 1), ('recommendation_locations', 1), ('calendar_query', 1)]
transport_taxi                1.000     [('transport_taxi', 18)]
transport_ticket              0.947     [('transport_ticket', 18), ('transport_query', 1)]
transport_traffic             0.947     [('transport_traffic', 18), ('calendar_query', 1)]
weather_query                 1.000     [('weather_query', 19)]
test_acc = 0.8215613382899628
