hwu
change alarm to start at midnight -> predict label: alarm_remove, true label: alarm_set
what is playing at the local theater right now -> predict label: recommendation_movies, true label: recommendation_events
when is the yearly cultural event coming up -> predict label: calendar_query, true label: recommendation_events
where is mcdo -> predict label: qa_factoid, true label: recommendation_locations
tell comcast i am still on hold -> predict label: email_sendemail, true label: social_post
get me updates from kenny's facebook from the weekend -> predict label: email_querycontact, true label: social_query
take me to the most popular post -> predict label: social_post, true label: social_query
is there any good chinese takeout that's open late -> predict label: takeaway_query, true label: takeaway_order
order a smoked meat platter from beanos -> predict label: cooking_recipe, true label: takeaway_order
navigation search -> predict label: qa_factoid, true label: transport_query
how far away is the nearest rest stop -> predict label: recommendation_locations, true label: transport_query
when i should leave to office -> predict label: audio_volume_mute, true label: transport_query
google train tickets to washington dc -> predict label: transport_query, true label: transport_ticket
get me a ride on the commuter train from nj to ny -> predict label: transport_taxi, true label: transport_ticket
is summer going on -> predict label: calendar_query, true label: weather_query
are there any tornado warnings today -> predict label: alarm_query, true label: weather_query
test_acc = 0.9033457249070632
