hwu
test
alarm settings -> predict label: alarm_set, true label: alarm_query
play_music                    0.579     [('play_music', 11), ('play_game', 3), ('music_settings', 3), ('music_likeness', 2)]
play_podcasts                 0.895     [('play_podcasts', 17), ('play_music', 1), ('lists_remove', 1)]
play_radio                    0.789     [('play_radio', 15), ('play_game', 1), ('qa_maths', 1), ('recommendation_movies', 1), ('play_music', 1)]
qa_currency                   0.895     [('qa_currency', 17), ('qa_stock', 2)]
qa_definition                 0.526     [('qa_definition', 10), ('qa_factoid', 5), ('general_quirky', 2), ('lists_query', 1), ('general_explain', 1)]
qa_factoid                    0.737     [('qa_factoid', 14), ('datetime_query', 1), ('play_audiobook', 1), ('qa_currency', 1), ('calendar_query', 1), ('transport_query', 1)]
qa_maths                      0.857     [('qa_maths', 12), ('qa_currency', 1), ('general_explain', 1)]
qa_stock                      0.947     [('qa_stock', 18), ('qa_currency', 1)]
recommendation_events         0.842     [('recommendation_events', 16), ('qa_factoid', 1), ('news_query', 1), ('recommendation_movies', 1)]
recommendation_locations      0.947     [('recommendation_locations', 18), ('takeaway_order', 1)]
recommendation_movies         1.000     [('recommendation_movies', 10)]
social_post                   0.947     [('social_post', 18), ('social_query', 1)]
social_query                  0.889     [('social_query', 16), ('news_query', 1), ('social_post', 1)]
takeaway_order                0.947     [('takeaway_order', 18), ('recommendation_locations', 1)]
takeaway_query                0.632     [('takeaway_query', 12), ('takeaway_order', 6), ('cooking_recipe', 1)]
transport_query               0.789     [('transport_query', 15), ('transport_ticket', 1), ('transport_traffic', 1), ('recommendation_locations', 1), ('calendar_remove', 1)]
transport_taxi                1.000     [('transport_taxi', 18)]
transport_ticket              0.895     [('transport_ticket', 17), ('transport_query', 2)]
transport_traffic             0.947     [('transport_traffic', 18), ('calendar_query', 1)]
weather_query                 0.895     [('weather_query', 17), ('calendar_query', 1), ('recommendation_events', 1)]
test_acc = 0.8392193308550185
