hwu
alarm settings -> predict label: alarm_remove, true label: alarm_query
this is unimportant for me. -> predict label: general_negate, true label: general_dontcare
this is unimportant, olly. -> predict label: general_negate, true label: general_dontcare
s2, i can not understand that. -> predict label: general_negate, true label: general_explain
s1, explain further please. -> predict label: general_confirm, true label: general_explain
couldn't understand what you just said now. -> predict label: general_negate, true label: general_explain
i didn't get your response. -> predict label: general_negate, true label: general_explain
do not get this. -> predict label: general_negate, true label: general_explain
didn't understand what you said now. -> predict label: general_negate, true label: general_explain
you've done it right. -> predict label: general_negate, true label: general_praise
today i had a lunch with my longtime sweetheart play me a nice song to the mood -> predict label: play_music, true label: general_quirky
what's on tv -> predict label: news_query, true label: general_quirky
your salary -> predict label: qa_stock, true label: general_quirky
overall day -> predict label: weather_query, true label: general_quirky
anything i need to know -> predict label: general_confirm, true label: general_quirky
is mile marker sixty five where the hanging tree is located -> predict label: qa_factoid, true label: general_quirky
what is your country -> predict label: qa_factoid, true label: general_quirky
do i need to spare washing my car today -> predict label: iot_cleaning, true label: general_quirky
can you explain me the problems when the syria becomes more stronger than america -> predict label: news_query, true label: general_quirky
you are chatbot -> predict label: social_post, true label: general_quirky
how high is the quality of this stone -> predict label: qa_factoid, true label: general_quirky
can you please tell me who are you -> predict label: qa_factoid, true label: general_quirky
where did he was yesterday -> predict label: qa_factoid, true label: general_quirky
have you come across any new recipes -> predict label: cooking_recipe, true label: general_quirky
how did your day go -> predict label: calendar_query, true label: general_quirky
give me the product review from gamespot about the nintendo switch -> predict label: play_game, true label: general_quirky
let's start over please. -> predict label: general_commandstop, true label: general_repeat
retry please. -> predict label: general_commandstop, true label: general_repeat
make me a capuccino -> predict label: takeaway_order, true label: iot_coffee
turn the lights on party mode -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
set the mood please -> predict label: iot_coffee, true label: iot_hue_lightchange
make curser adjustable position -> predict label: iot_wemo_on, true label: iot_hue_lightchange
let's have a warm glow in the front room -> predict label: iot_hue_lighton, true label: iot_hue_lightchange
change my light color to blue and please turn off the kitchen light -> predict label: iot_hue_lightoff, true label: iot_hue_lightchange
light is too much -> predict label: iot_hue_lighton, true label: iot_hue_lightdim
power off the current -> predict label: iot_wemo_off, true label: iot_hue_lightoff
by main power off -> predict label: iot_wemo_off, true label: iot_hue_lightoff
i need the lights in here to be turned up to seven -> predict label: iot_hue_lightdim, true label: iot_hue_lightup
i would like all the lights on when i enter -> predict label: iot_hue_lighton, true label: iot_hue_lightup
raise all the lights on -> predict label: iot_hue_lighton, true label: iot_hue_lightup
wemo on -> predict label: play_radio, true label: iot_wemo_on
make the wemo go on -> predict label: general_quirky, true label: iot_wemo_on
add to list -> predict label: lists_query, true label: lists_createoradd
add these documents to the things i need to travel with -> predict label: lists_remove, true label: lists_createoradd
start new list -> predict label: lists_remove, true label: lists_createoradd
put this on my list -> predict label: lists_query, true label: lists_createoradd
open google keep -> predict label: social_query, true label: lists_query
did i put toothpaste on my pick up list -> predict label: lists_createoradd, true label: lists_query
groceries list -> predict label: lists_createoradd, true label: lists_query
what did i put down already on the walmart list -> predict label: lists_createoradd, true label: lists_query
what is on my playlist -> predict label: music_query, true label: lists_query
whats the schedule for today -> predict label: calendar_query, true label: lists_query
take bread out from the shopping list -> predict label: lists_createoradd, true label: lists_remove
get rid of peas -> predict label: cooking_recipe, true label: lists_remove
add song to running list -> predict label: music_settings, true label: music_likeness
add this channel to pandora -> predict label: play_radio, true label: music_likeness
i favorite singer is arijit singh find his voice on radio -> predict label: music_query, true label: music_likeness
what is in my favorites music folder -> predict label: music_query, true label: music_likeness
the song you are playing is amazing -> predict label: music_query, true label: music_likeness
remember that this song is good but too slow to exercise to -> predict label: play_music, true label: music_likeness
give me the details on elton john -> predict label: qa_factoid, true label: music_query
when did pop it like it's hot come out -> predict label: general_quirky, true label: music_query
song info -> predict label: music_settings, true label: music_query
who is this -> predict label: qa_definition, true label: music_query
list of playback of ar rahman collections -> predict label: music_settings, true label: music_query
repeat this song when it ends -> predict label: play_music, true label: music_settings
please repeat that music again of akon -> predict label: play_music, true label: music_settings
repeat this song -> predict label: play_music, true label: music_settings
repeat same song for ten times -> predict label: play_music, true label: music_settings
add newscast time to daily schedule -> predict label: datetime_convert, true label: news_query
what were the cities affected by the earthquake -> predict label: qa_factoid, true label: news_query
what's happening around the world -> predict label: recommendation_events, true label: news_query
find me info on cars -> predict label: email_querycontact, true label: news_query
fast me the news of academy awards -> predict label: recommendation_movies, true label: news_query
pause resume -> predict label: audio_volume_mute, true label: play_audiobook
start playing american gods where i last stopped -> predict label: play_music, true label: play_audiobook
play from my last session of joes book -> predict label: play_music, true label: play_audiobook
resume animal farm -> predict label: takeaway_query, true label: play_audiobook
can you play file -> predict label: play_game, true label: play_audiobook
give me a company for playing football -> predict label: recommendation_locations, true label: play_game
bring up papa pear saga -> predict label: cooking_recipe, true label: play_game
paper scissors or stone -> predict label: iot_cleaning, true label: play_game
i would like to hear the theme song to this is us -> predict label: music_likeness, true label: play_music
put poker face by lady gaga next in the play queue -> predict label: play_game, true label: play_music
play jumper by third eye blind -> predict label: play_game, true label: play_music
play music playlist -> predict label: music_settings, true label: play_music
hey play crazy by britney spears -> predict label: music_likeness, true label: play_music
play all third day -> predict label: play_game, true label: play_music
play my play list -> predict label: play_music, true label: play_podcasts
can you play back to december -> predict label: play_game, true label: play_podcasts
skip this one -> predict label: lists_remove, true label: play_podcasts
play radia -> predict label: play_music, true label: play_radio
play nine hundred and seventy one -> predict label: play_game, true label: play_radio
show me upcoming programmes on one hundred and five point one -> predict label: recommendation_movies, true label: play_radio
please play some songs for kids -> predict label: play_music, true label: play_radio
how much is b. p. in u. s. d. -> predict label: qa_factoid, true label: qa_currency
u. s. d. to g. b. p. -> predict label: qa_stock, true label: qa_currency
please define forensic -> predict label: general_quirky, true label: qa_definition
tell about the origin of the word evolution -> predict label: general_quirky, true label: qa_definition
what do you know about the statue of liberty -> predict label: qa_factoid, true label: qa_definition
google definition for me -> predict label: social_query, true label: qa_definition
Define economics -> predict label: general_quirky, true label: qa_definition
please tell me the definition of home -> predict label: qa_factoid, true label: qa_definition
describe a rotor -> predict label: general_quirky, true label: qa_definition
define the moon for me -> predict label: general_quirky, true label: qa_definition
define flabbergasted -> predict label: general_explain, true label: qa_definition
find the meaning of promise -> predict label: general_quirky, true label: qa_definition
how many months in a year -> predict label: datetime_query, true label: qa_factoid
how many pages long is harry potter -> predict label: play_audiobook, true label: qa_factoid
when is shakira's birthday -> predict label: email_querycontact, true label: qa_factoid
calculate distance from boston to new york -> predict label: transport_query, true label: qa_factoid
tell me who will win the next presidential election -> predict label: news_query, true label: qa_factoid
convert ten inches to centimeters -> predict label: audio_volume_down, true label: qa_maths
what is the answer to this math question -> predict label: qa_definition, true label: qa_maths
what is the value of apple -> predict label: qa_factoid, true label: qa_stock
what events are coming up -> predict label: calendar_query, true label: recommendation_events
show me painting exhibition in bay area -> predict label: music_query, true label: recommendation_events
what's going on -> predict label: news_query, true label: recommendation_events
what is playing at the local theater right now -> predict label: recommendation_movies, true label: recommendation_events
What event do you suggest for me tonight -> predict label: calendar_query, true label: recommendation_events
open gallery post video name -> predict label: play_podcasts, true label: social_post
tell comcast i am still on hold -> predict label: play_radio, true label: social_post
post new status -> predict label: lists_remove, true label: social_post
tell me what's going on snap chat -> predict label: news_query, true label: social_query
where can i order pizza for delivery -> predict label: takeaway_order, true label: takeaway_query
i need to know if mr pizza delivers -> predict label: takeaway_order, true label: takeaway_query
what's the exact time we get food delivered once we place an order for food -> predict label: takeaway_order, true label: takeaway_query
how long until i receive my food -> predict label: cooking_recipe, true label: takeaway_query
where are my takeaway order -> predict label: takeaway_order, true label: takeaway_query
is my order at domino's ready -> predict label: takeaway_order, true label: takeaway_query
hi there do you offer home delivery for orders -> predict label: takeaway_order, true label: takeaway_query
what is the status of my order no -> predict label: qa_factoid, true label: takeaway_query
where can i book a train ticket to oregon -> predict label: transport_ticket, true label: transport_query
navigation search -> predict label: alarm_query, true label: transport_query
how far away is the nearest rest stop -> predict label: recommendation_locations, true label: transport_query
when i should leave to office -> predict label: calendar_query, true label: transport_query
find out the the train arrival time and book me -> predict label: transport_query, true label: transport_ticket
are there are any delays on my commute -> predict label: calendar_query, true label: transport_traffic
alarm_query                   0.895     [('alarm_query', 17), ('alarm_remove', 1), ('alarm_set', 1)]
alarm_remove                  1.000     [('alarm_remove', 11)]
alarm_set                     0.895     [('alarm_set', 17), ('datetime_convert', 1), ('alarm_remove', 1)]
audio_volume_down             0.875     [('audio_volume_down', 7), ('audio_volume_up', 1)]
audio_volume_mute             0.733     [('audio_volume_mute', 11), ('audio_volume_up', 1), ('audio_volume_down', 1), ('email_query', 1), ('iot_wemo_off', 1)]
audio_volume_up               0.769     [('audio_volume_up', 10), ('audio_volume_down', 3)]
calendar_query                0.632     [('calendar_query', 12), ('recommendation_events', 2), ('social_query', 1), ('calendar_remove', 1), ('lists_query', 1), ('calendar_set', 1), ('datetime_query', 1)]
calendar_remove               0.947     [('calendar_remove', 18), ('calendar_query', 1)]
calendar_set                  0.684     [('calendar_set', 13), ('calendar_query', 3), ('email_query', 1), ('email_querycontact', 1), ('alarm_set', 1)]
cooking_recipe                0.895     [('cooking_recipe', 17), ('takeaway_order', 1), ('general_quirky', 1)]
datetime_convert              0.875     [('datetime_convert', 7), ('audio_volume_down', 1)]
datetime_query                0.737     [('datetime_query', 14), ('datetime_convert', 4), ('general_quirky', 1)]
email_addcontact              0.875     [('email_addcontact', 7), ('email_sendemail', 1)]
email_query                   0.789     [('email_query', 15), ('email_sendemail', 4)]
email_querycontact            0.684     [('email_querycontact', 13), ('qa_factoid', 3), ('email_query', 2), ('email_addcontact', 1)]
email_sendemail               0.737     [('email_sendemail', 14), ('email_addcontact', 4), ('calendar_set', 1)]
general_affirm                1.000     [('general_affirm', 19)]
general_commandstop           1.000     [('general_commandstop', 19)]
general_confirm               1.000     [('general_confirm', 19)]
general_dontcare              0.842     [('general_dontcare', 16), ('general_negate', 2), ('general_praise', 1)]
general_explain               0.684     [('general_explain', 13), ('general_negate', 5), ('general_confirm', 1)]
general_joke                  1.000     [('general_joke', 12)]
general_negate                1.000     [('general_negate', 19)]
general_praise                0.947     [('general_praise', 18), ('general_negate', 1)]
general_quirky                0.158     [('qa_factoid', 5), ('general_quirky', 3), ('news_query', 2), ('play_music', 1), ('qa_stock', 1), ('weather_query', 1), ('general_confirm', 1), ('iot_cleaning', 1), ('social_post', 1), ('cooking_recipe', 1), ('calendar_query', 1), ('play_game', 1)]
general_repeat                0.895     [('general_repeat', 17), ('general_commandstop', 2)]
iot_cleaning                  1.000     [('iot_cleaning', 16)]
iot_coffee                    0.947     [('iot_coffee', 18), ('takeaway_order', 1)]
iot_hue_lightchange           0.737     [('iot_hue_lightchange', 14), ('iot_hue_lighton', 2), ('iot_coffee', 1), ('iot_wemo_on', 1), ('iot_hue_lightoff', 1)]
iot_hue_lightdim              0.917     [('iot_hue_lightdim', 11), ('iot_hue_lighton', 1)]
iot_hue_lightoff              0.895     [('iot_hue_lightoff', 17), ('iot_wemo_off', 2)]
iot_hue_lighton               1.000     [('iot_hue_lighton', 3)]
iot_hue_lightup               0.786     [('iot_hue_lightup', 11), ('iot_hue_lighton', 2), ('iot_hue_lightdim', 1)]
iot_wemo_off                  1.000     [('iot_wemo_off', 9)]
iot_wemo_on                   0.714     [('iot_wemo_on', 5), ('play_radio', 1), ('general_quirky', 1)]
lists_createoradd             0.789     [('lists_createoradd', 15), ('lists_query', 2), ('lists_remove', 2)]
lists_query                   0.684     [('lists_query', 13), ('lists_createoradd', 3), ('social_query', 1), ('music_query', 1), ('calendar_query', 1)]
lists_remove                  0.895     [('lists_remove', 17), ('lists_createoradd', 1), ('cooking_recipe', 1)]
music_likeness                0.667     [('music_likeness', 12), ('music_query', 3), ('music_settings', 1), ('play_radio', 1), ('play_music', 1)]
music_query                   0.737     [('music_query', 14), ('music_settings', 2), ('qa_factoid', 1), ('general_quirky', 1), ('qa_definition', 1)]
music_settings                0.429     [('play_music', 4), ('music_settings', 3)]
news_query                    0.737     [('news_query', 14), ('datetime_convert', 1), ('qa_factoid', 1), ('recommendation_events', 1), ('email_querycontact', 1), ('recommendation_movies', 1)]
play_audiobook                0.737     [('play_audiobook', 14), ('play_music', 2), ('audio_volume_mute', 1), ('takeaway_query', 1), ('play_game', 1)]
play_game                     0.842     [('play_game', 16), ('recommendation_locations', 1), ('cooking_recipe', 1), ('iot_cleaning', 1)]
play_music                    0.684     [('play_music', 13), ('play_game', 3), ('music_likeness', 2), ('music_settings', 1)]
play_podcasts                 0.842     [('play_podcasts', 16), ('play_music', 1), ('play_game', 1), ('lists_remove', 1)]
play_radio                    0.789     [('play_radio', 15), ('play_music', 2), ('play_game', 1), ('recommendation_movies', 1)]
qa_currency                   0.895     [('qa_currency', 17), ('qa_factoid', 1), ('qa_stock', 1)]
qa_definition                 0.474     [('qa_definition', 9), ('general_quirky', 6), ('qa_factoid', 2), ('social_query', 1), ('general_explain', 1)]
qa_factoid                    0.737     [('qa_factoid', 14), ('datetime_query', 1), ('play_audiobook', 1), ('email_querycontact', 1), ('transport_query', 1), ('news_query', 1)]
qa_maths                      0.857     [('qa_maths', 12), ('audio_volume_down', 1), ('qa_definition', 1)]
qa_stock                      0.947     [('qa_stock', 18), ('qa_factoid', 1)]
recommendation_events         0.737     [('recommendation_events', 14), ('calendar_query', 2), ('music_query', 1), ('news_query', 1), ('recommendation_movies', 1)]
recommendation_locations      1.000     [('recommendation_locations', 19)]
recommendation_movies         1.000     [('recommendation_movies', 10)]
social_post                   0.842     [('social_post', 16), ('play_podcasts', 1), ('play_radio', 1), ('lists_remove', 1)]
social_query                  0.944     [('social_query', 17), ('news_query', 1)]
takeaway_order                1.000     [('takeaway_order', 19)]
takeaway_query                0.579     [('takeaway_query', 11), ('takeaway_order', 6), ('cooking_recipe', 1), ('qa_factoid', 1)]
transport_query               0.789     [('transport_query', 15), ('transport_ticket', 1), ('alarm_query', 1), ('recommendation_locations', 1), ('calendar_query', 1)]
transport_taxi                1.000     [('transport_taxi', 18)]
transport_ticket              0.947     [('transport_ticket', 18), ('transport_query', 1)]
transport_traffic             0.947     [('transport_traffic', 18), ('calendar_query', 1)]
weather_query                 1.000     [('weather_query', 19)]
test_acc = 0.8252788104089219
